15/16 goals,15/16 minutes,16/17 goals,16/17 minutes,17/18 goals,17/18 minutes,name
24,2386,3,636,7,1670,Paul Gladon
12,2807,6,1134,11,1633,Vincent Vermeij
4,500,2,813,0,362,Kai Huisman
5,1099,2,778,0,1361,Mo El Hankouri
1,793,1,797,1,523,Karim Coulibaly
0,192,,,2,858,Kristófer Ingi Kristinsson
1,515,2,60,4,1260,Ismail Azzaoui
10,3597,3,2710,2,835,Jordy Croux
3,624,1,1421,,,Asumah Abubakar
16,3096,10,2251,17,2693,Fran Sol
12,1672,3,599,12,1530,Bartholomew Ogbeche
24,2588,8,1964,3,390,Etien Velikonja
5,3064,6,2809,2,955,Dabney dos Santos
4,2419,4,1406,2,1148,Craig Goodwin
13,2836,18,3749,0,1365,Soufyan Ahannach
16,2991,8,1711,2,1304,Loris Brogno
26,2932,7,1872,1,580,Thomas Verhaar
1,906,10,2478,0,705,Ilias Alhaft
20,2968,7,1120,4,1299,Michiel Kramer
8,1260,11,2172,11,1460,Fred Friday
12,1824,15,1759,5,1679,Robert Mühren
8,2694,3,1199,3,725,Nick Proschwitz
10,900,16,1858,3,867,Ragnar Ache
2,788,3,1919,0,597,Thomas Agyepong
,,5,1421,3,1049,Diego Snepvangers
11,1543,11,3119,3,1618,Giovanni Korte
0,56,13,2180,1,892,Paolo Fernandes
21,1758,0,230,3,560,Umar Sadiq
7,973,5,427,10,2146,Thierry Ambrose
11,1945,1,421,3,517,Mitchell te Vrede
0,39,8,1472,2,1022,Richelor Sprangers
4,1055,7,1985,4,1433,Levi García
4,1522,8,2200,2,1423,Stanley Elbers
15,2181,3,2351,3,1302,Jinty Caenepeel
3,1496,4,1768,7,1978,Mike van Duinen
11,1610,9,1915,5,1311,Zakaria El Azzouzi
3,2744,6,3229,3,1236,Gyliano van Velzen
2,1616,2,2814,2,2446,Mikhael Rosheuvel
0,785,3,917,3,1238,Mario Engels
0,15,2,445,6,297,Célestin Djim
5,1836,3,1405,10,2097,Dani Schahin
6,630,0,242,5,1224,Jorn Vancamp
13,715,0,462,1,415,Maecky Ngombo
8,1642,6,2217,3,1586,Torino Hunte
2,1162,0,20,0,7,Lugman Bezzat
14,2627,14,3275,5,2147,Vito van Crooij
7,1941,4,1726,0,377,Romeo Castelen
8,2548,3,764,8,2526,Lennart Thy
0,0,5,1192,2,531,Emil Riis
9,2925,9,2597,12,2774,Leroy Sané
11,2981,10,3627,20,2774,Raheem Sterling
7,3192,11,4296,7,2329,Bernardo Silva
29,3523,33,3503,30,2895,Sergio Agüero
17,2314,7,741,11,1766,Gabriel Jesus
17,3289,30,4229,9,2464,Alexis Sánchez
18,4663,8,2517,11,1979,Anthony Martial
7,2970,5,2208,13,1903,Jesse Lingard
25,4023,26,3447,23,3436,Romelu Lukaku
12,2101,11,3068,12,2128,Marcus Rashford
50,4146,28,3847,1,187,Zlatan Ibrahimovic
8,2001,21,2972,18,2766,Heung-Min Son
13,3169,19,3478,2,264,Lucas
11,3072,2,944,1,927,Érik Lamela
28,4027,35,3154,35,3222,Harry Kane
7,1695,15,2503,5,958,Fernando Llorente
6,3079,17,3373,15,2857,Eden Hazard
9,2781,13,2723,6,2252,Pedro
11,3881,12,2026,13,2421,Willian
12,2377,20,1902,12,2249,Álvaro Morata
24,3373,16,1780,8,1508,Olivier Giroud
15,3116,13,2427,14,2501,Sadio Mané
0,170,9,1608,4,1365,Ben Woodburn
15,3402,19,3185,32,3165,Mohamed Salah
3,537,4,409,1,799,Danny Ings
7,1991,2,373,0,662,Dominic Solanke
6,2220,4,2354,2,2020,Alex Iwobi
39,3931,40,3959,24,2707,Pierre-Emerick Aubameyang
23,3743,37,3477,9,2037,Alexandre Lacazette
5,818,5,1094,5,1604,Danny Welbeck
6,2464,1,1164,0,545,Yannick Bolasie
9,2076,19,2495,6,1500,Theo Walcott
17,1466,24,3286,16,2081,Cenk Tosun
8,1587,5,1134,8,2286,Dominic Calvert-Lewin
13,1986,12,1596,11,1145,Oumar Niasse
6,2482,8,3648,0,1754,Nathan Redmond
9,2606,3,3107,4,2390,Dusan Tadic
4,1359,6,2079,0,548,Josh Sims
9,982,11,1588,4,1040,Manolo Gabbiadini
10,1348,9,1274,6,675,Charlie Austin
13,2374,5,2071,1,1383,Shane Long
5,1871,8,1099,8,1330,Guido Carrillo
12,3304,7,2966,7,1773,Marko Arnautovic
13,2994,9,3022,3,1420,Michail Antonio
26,3201,13,2646,7,1727,Chicharito
9,1729,7,1580,2,812,Andy Carroll
5,1081,13,3384,10,2390,Jordan Hugill
1,2484,3,1848,4,1993,Demarai Gray
18,3128,10,3766,11,2504,Riyad Mahrez
24,3210,16,3821,16,2703,Jamie Vardy
14,1318,7,899,7,1016,Kelechi Iheanacho
6,2222,6,2211,7,1392,Shinji Okazaki
,,0,59,5,2157,Fousseni Diabaté
2,1149,0,200,6,718,Bakary Sako
5,3362,7,3131,4,1831,Wilfried Zaha
7,1992,3,2820,2,2588,Andros Townsend
2,699,0,853,0,282,Chung-Yong Lee
10,2232,17,3279,2,1974,Christian Benteke
6,1586,3,545,,,Connor Wickham
2,785,4,1192,15,2170,Alexander Sörloth
9,2408,3,2072,4,2259,Eric Maxim Choupo-Moting
6,1282,5,1531,1,631,Jesé
6,2496,0,1057,4,1248,Ramadan Sobhi
3,2294,4,1781,7,2284,Xherdan Shaqiri
9,2247,3,1446,0,755,Saido Berahino
5,1519,1,1493,5,2118,Mame Diouf
2,860,10,1634,4,1292,Peter Crouch
4,1509,7,1591,5,2692,Richarlison
4,1835,4,2041,3,1207,Gerard Deulofeu
1,609,3,1250,2,1650,André Carrillo
3,844,0,149,3,1396,Dodi Lukebakio
25,3625,10,2495,4,1369,Andre Gray
15,3723,10,3164,6,1483,Troy Deeney
17,3677,4,1044,1,369,Stefano Okaka
6,1335,1,511,0,43,Jerome Sinclair
7,1682,5,2161,1,311,Nacer Chadli
2,2985,2,1616,1,1157,James McClean
5,2365,3,805,2,1003,Hal Robson-Kanu
2,926,5,1108,1,563,Oliver Burke
8,3859,5,2404,2,1860,Matt Phillips
0,1509,1,1086,0,841,Jonathan Leko
13,1700,7,1193,3,592,Daniel Sturridge
10,3106,8,3021,8,2386,José Salomón Rondón
6,742,6,1426,8,2555,Jay Rodríguez
12,2943,6,1453,6,1646,André Ayew
2,1860,3,2045,1,788,Wayne Routledge
8,1586,1,1178,9,1123,Kenji Gorré
9,2714,3,1582,3,1035,Luciano Narsingh
3,568,0,505,3,1368,Nathan Dyer
9,1665,2,759,4,1091,Wilfried Bony
20,2798,26,3743,7,1884,Tammy Abraham
7,2695,4,2482,10,2738,Jordan Ayew
2,543,5,1711,2,1740,Christian Atsu
10,2970,9,2724,1,1158,Jacob Murphy
31,3598,9,1757,5,645,Islam Slimani
7,1024,23,2287,5,1659,Dwight Gayle
4,1455,6,1184,4,1596,Joselu
10,3007,0,323,1,194,Georges-Kevin N'Koudou
6,2086,1,667,0,1453,Aaron Lennon
6,3416,1,1297,2,2518,Johann Berg Gudmundsson
8,2278,4,1386,0,94,Jonathan Walters
13,2936,30,3847,9,1468,Chris Wood
16,3688,12,2465,3,947,Sam Vokes
18,3700,10,3393,0,52,Nahki Wells
7,2464,16,2572,4,1657,José Izquierdo
9,2318,0,1987,0,511,Jirí Skalák
12,4030,15,3813,3,2173,Anthony Knockaert
12,2904,4,1036,11,1601,Jürgen Locadia
